Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Pirambu;2805307;pirambuense;GUILHERME JULLIUS ZACARIAS DE MELO;208.681;7913;37.92;96.8;0.603;48;88897177.38;54538319.64;14616.53
Poço Redondo;2805406;poçoredondense;ADEMILSON CHAGAS JUNIOR;1220.426;33439;27.4;96.8;0.529;18.87;124816489.66;119707849.9;11738.11
Poço Verde;2805505;poçoverdense;EVERALDO IGGOR SANTANA DE OLIVEIRA;441.326;21794;49.38;98.8;0.561;16;85278256.83;76581085.92;13427.56
Porto da Folha;2805604;portofolhense;MIGUEL DE LOUREIRO FEITOSA NETO;878.043;26576;30.27;97.1;0.568;4.82;105948348.23;99283482.75;12732.86
Propriá;2805703;propriaense;VALBERTO DE OLIVEIRA LIMA;96.32;26618;276.35;99.6;0.661;19.13;94037744.69;92649200.04;18628.15
Riachão do Dantas;2805802;riachãoense;SIMONE ANDRADE FARIAS SILVA;530.607;18313;34.51;94.4;0.539;5;85561239.95;79288504.69;16600.44
Riachuelo;2805901;riachuelense;PETERSON DANTAS ARAUJO;78.308;8748;111.71;98.5;0.617;24;71339005.45;61117879.3;21479.71
Ribeirópolis;2806008;ribeiropolense;ROGÉRIO SOBRAL COSTA;259.044;17033;65.75;98.5;0.613;21.98;85519466.95;76464051.04;17968.51
Rosário do Catete;2806107;rosarense;ANTÔNIO CÉSAR CORREIA DINIZ DE RESENDE;102.683;9295;90.52;97.4;0.631;15.04;106389920.74;99316121.74;42028.68
Salgado;2806206;salgadense;GIVANILDO DE SOUZA COSTA;247.579;20279;81.91;97.9;0.609;17.39;86587736.87;79475666.79;10848.3
Santa Luzia do Itanhy;2806305;santaluziense;ADAUTO DANTAS DO AMOR CARDOSO;325.258;13616;41.86;97.3;0.545;21.98;92273229.92;89638159.73;13564.94
Santana do São Francisco;2806404;santanense;RICARDO JOSÉ RORIZ SILVA CRUZ;44.017;7346;166.89;99.6;0.59;9.52;62280472.37;56845439;13505.26
Santa Rosa de Lima;2806503;santarosense;LUIZ ROBERTO AZEVEDO SANTOS JÚNIOR;67.672;3937;58.18;98.7;0.592;18.87;33946695.68;28982398.5;14005.48
Santo Amaro das Brotas;2806602;brotense;PAULO CÉSAR OLIVEIRA SOUZA;236.965;11092;46.81;97.6;0.637;7.94;63809460.36;58574842.96;13743.05
São Cristóvão;2806701;sãocristóvense;MARCOS ANTÔNIO DE AZEVEDO SANTANA;438.037;95612;218.27;97.7;0.662;16.3;304916496.62;319234782.6;11203.61
São Domingos;2806800;sãodominguense;JOSE VAGNER ALVES DE OLIVEIRA;101.999;10327;101.25;97;0.588;21.74;50376351.51;49935368.97;11992.45
São Francisco;2806909;sãofrancisquense;ALBA DOS SANTOS NASCIMENTO;83.985;3243;38.61;98.1;0.587;;32970632.19;29807880.47;14603.48
São Miguel do Aleixo;2807006;aleixense;JOSE GILTON DA COSTA MENESES;144.868;3434;23.7;98.1;0.567;60.61;32569938.68;30090775.13;12573.79
Simão Dias;2807105;simãodiense;CRISTIANO VIANA MENESES;560.199;42578;76.01;98.8;0.604;13.36;150437806.68;140809624.8;19408.9
Siriri;2807204;siririense;JOSE ROSA DE OLIVEIRA;168.343;7834;46.54;98.9;0.609;26.55;51083072.37;50038030.34;19537.43
Telha;2807303;telhense;FLAVIO FREIRE DIAS;47.86;3274;68.41;99.5;0.604;;31101534.66;27848100.89;13488.67
Tobias Barreto;2807402;tobiense;ADILSON DE JESUS SANTOS;1024.645;50905;49.68;94.3;0.557;9.51;183633408.69;169680363;12405.95
Tomar do Geru;2807501;geruense;PEDRO SILVA COSTA FILHO;304.837;12012;39.4;97.6;0.551;14.08;57665798.56;59313120.66;10858.98
Umbaúba;2807600;umbaubense;HUMBERTO SANTOS COSTA;117.514;23917;203.52;98.2;0.579;13.59;103918606.98;100521732.8;15564.7
