Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Felício dos Santos;3125408;felizsantense;RICARDO JOSÉ ROCHA;357.622;5133;14.35;97.7;0.606;;37392703.88;32493297.17;15837.34
São Gonçalo do Rio Preto;3125507;sãogonçalense;DILSON DE FÁTIMA MOREIRA;314.458;3032;9.64;98.5;0.64;;32026652.57;26625266.1;15341.2
Felisburgo;3125606;felisburguense;IDEUVAN DE SOUZA AVELAR;596.215;6489;10.88;96;0.583;13.16;41712097.78;40718430.22;10030.05
Felixlândia;3125705;felixlandense;VANDERLI DE CARVALHO BARBOSA;1554.627;13978;8.99;98;0.648;16.39;114887650.15;102521855.7;18106.34
Fernandes Tourinho;3125804;fernandestourinhense;VICENTE DE PAULA GERMANO;151.875;2789;18.36;99.6;0.646;34.48;33549302.89;24947713.97;13101.7
Ferros;3125903;ferrense;RAIMUNDO MENEZES DE CARVALHO FILHO;1088.791;9590;8.81;97.9;0.603;;47969907.03;40408859.6;15447.38
Fervedouro;3125952;fervedourense;CARLOS CORINDON DE ARAUJO;357.683;10445;29.2;96.1;0.58;6.62;58862266.21;51142153.01;14134.11
Florestal;3126000;florestalense;WAGNER DOS SANTOS JUNIOR;194.242;8045;41.42;98.8;0.724;66.67;45637478.82;44390414.71;18785.7
Formiga;3126109;formiguense;EUGÊNIO VILELA JÚNIOR;1501.915;68248;45.44;97.4;0.755;6.18;370783010.05;370325425.5;32581.52
Formoso;3126208;formosense;DINARTE HENRIQUE GUEDES DE ORNELAS;3686.004;7949;2.16;96.4;0.64;24.39;54622551.43;50529924.8;32101.59
Fortaleza de Minas;3126307;fortalezense;ADENILSON QUEIROZ;218.792;3477;15.89;86.8;0.67;;31265411.61;30250847.5;24956.6
Fortuna de Minas;3126406;fortunense;CLAUDIO GARCIA MACIEL;198.709;3093;15.57;98.6;0.696;;83072575.88;29810567.11;17170.82
Francisco Badaró;3126505;badarosense;ANTONIO REGINALDO MARTINS MOREIRA;461.481;7366;15.96;98.5;0.622;;42574986.6;42703492.05;7546.65
Francisco Dumont;3126604;franciscodumonsense;EDUARDO RABELO FONSECA;1576.128;4503;2.86;96.3;0.625;22.73;40392121.91;37471636.9;14352.6
Francisco Sá;3126703;franciscosaense;MÁRIO OSVALDO RODRIGUES CASASANTA;2747.295;23476;8.55;98.8;0.654;14.22;126031654.75;109359773.5;17077.75
Franciscópolis;3126752;franciscopolitano;NILTON DOS SANTOS COIMBRA;717.087;5034;7.02;97.9;0.603;28.57;43646957.83;33643484.11;19449.13
Frei Gaspar;3126802;freigasparense;EDSON ALVES DOS SANTOS;626.672;5640;9;96.8;0.59;22.73;48926314.12;46258037.43;13674.68
Frei Inocêncio;3126901;freiinocenciano;JIMMY DUTRA GOULART;469.557;8226;17.52;98.3;0.648;33.9;45410270.61;42684141.13;15488.87
Frei Lagonegro;3126950;frei lagonegrense;GERALDO FERREIRA DA SILVA;167.474;3391;20.25;96.6;0.543;20;31452163.77;28926328.92;10171.36
Fronteira;3127008;fronteirense;SÉRGIO PAULO CAMPOS;199.987;14540;72.7;96.3;0.684;7.58;119513622.5;110243134.3;49568.1
Fronteira dos Vales;3127057;fronteiristadosvales;ADAILTON RODRIGUES DA SILVA;320.757;4345;13.55;97;0.592;60;30315247.74;29335343.18;10777.9
Fruta de Leite;3127073;fruta de leitense;NIXON MARLON GONÇALVES DAS NEVES;762.837;4647;6.09;94.7;0.544;;33097970.61;30073444.92;8999.57
Frutal;3127107;frutalense;BRUNO AUGUSTO DE JESUS FERREIRA;2426.965;58588;24.14;97.6;0.73;10.17;304179236.74;300120173.2;40872.58
Funilândia;3127206;funilandense;EDSON VARGAS DIAS;199.797;4686;23.45;97.4;0.655;;35152392.78;36848598.99;18794.03
Galiléia;3127305;galileense;JUAREZ DA SILVA LIMA;720.303;6222;8.64;95.8;0.654;12.99;40488560.53;34849398.14;16814.67
Gameleiras;3127339;gameleirense;GILMAR RODRIGUES DE OLIVEIRA;1733.203;4793;2.77;98.9;0.65;;39595346.5;35092060.74;11278.35
Glaucilândia;3127354;glaucilandense;HERIVELTO ALVES LUIZ;145.861;2928;20.07;99.8;0.679;;27556340.5;27690716.77;12945.77
Goiabeira;3127370;goiabeirense;SAMUEL FERREIRA DA SILVA;112.443;2830;25.17;96.8;0.647;22.22;32018879.59;28795031.89;14670.26
Goianá;3127388;goianaense;ESTEVAM DE ASSIS BARREIROS;152.039;4053;26.66;99.4;0.716;32.26;33481220.83;30675060.93;15513.28
Gonçalves;3127404;gonçalvense;MARCIO DONIZETTI DE OLIVEIRA;187.353;4727;25.23;98.9;0.683;;40515798.34;37782380.35;21624.99
Gonzaga;3127503;gonzaguense;EFIGENIA MARIA MAGALHAES;209.348;5230;24.98;98.9;0.606;;37409459.72;33207481.9;11153.48
Gouveia;3127602;gouveiano;ANTONIO VICENTE DE SOUZA;866.601;11331;13.08;98.5;0.681;8.2;61762702.3;55152344.64;16842.21
Governador Valadares;3127701;valadarense;ANDRÉ LUIZ COELHO MERLO;2342.376;257171;109.79;97.2;0.727;17.53;1445399490.93;1666836984;26165.06
Grão Mogol;3127800;grãomogolense;DIÊGO ANTONIO BRAGA FAGUNDES;3885.294;13901;3.58;96.7;0.604;;96383676.05;82479305.24;48352.82
Grupiara;3127909;grupiarense;RONALDO JOSÉ MACHADO;193.141;1392;7.21;100;0.731;90.91;31413454.98;28559126.71;31890.41
Guanhães;3128006;guanhanense;DORIS CAMPOS COELHO;1075.124;32244;29.99;98.5;0.686;11.74;163258052.47;191562506.3;28633.61
Guapé;3128105;guapense;NELSON ALVES LARA;934.345;13772;14.74;98;0.679;15.27;86024272.42;78338927.83;27386.89
Guaraciaba;3128204;guaraciabense;ADEMAR FERNANDES MOREIRA;348.596;9753;27.98;97.3;0.623;14.71;45019170.28;41231031.29;11179.62
Guaraciama;3128253;guaraciamense;JOSÉ MARIA FIGUEIREDO SOBRINHO;390.263;5051;12.94;95.8;0.677;20.41;35757598.65;31141225.64;15589.72
Guaranésia;3128303;guaranesiano;LAERCIO CINTRA NOGUEIRA;294.828;19150;64.95;97.6;0.701;;92567604.86;83570598.08;28891.14
