Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
São Sebastião do Tocantins;1720309;sansebastianense;ADRIANO RODRIGUES DE MORAES;289.597;4100;14.16;96.6;0.573;16.13;31846767.07;29000884.86;12618.29
São Valério;1720499;são valeriano;OLÍMPIO DOS SANTOS ARRAES;2520.465;4422;1.75;96.2;0.643;18.87;33091846.92;29165449.82;40731.32
Silvanópolis;1720655;silvanopolino;GERNIVON ADAO PEREIRA ROSA;1258.771;5108;4.06;97.5;0.675;26.32;40008094.44;37394902.71;44080.81
Sítio Novo do Tocantins;1720804;sítionovense;ALEXANDRE SOUSA ABREU FARIAS;307.095;10830;35.27;95.8;0.604;15.75;66740786.26;62831606.39;14820.08
Sucupira;1720853;sucupirense;VALDIVINO MILHOMEM DE MORAIS;1018.222;1577;1.55;98;0.667;;25462047.29;21936580.79;265258.58
Taguatinga;1720903;taguatinense;PAULO ROBERTO RIBEIRO;2341.919;14011;5.98;96.6;0.634;5.71;70566996.84;64616681.58;18758.26
Taipas do Tocantins;1720937;taipense;SILVIO ROMÉRIO CARDOSO RIBEIRO ARAÚJO;1105.303;2021;1.83;94.2;0.601;35.71;26294582.7;21814038.38;16145.79
Talismã;1720978;talismãense;DIOGO BORGES DE ARAÚJO COSTA;2155.503;2456;1.14;93.5;0.654;35.71;35027319.22;32816911.57;51821.96
Palmas;1721000;palmense;CINTHIA ALVES CAETANO RIBEIRO;2227.329;302692;135.9;98;0.788;10.71;2233618279.26;2075783972;32977.35
Tocantínia;1721109;tocantiniense;MANOEL SILVINO GOMES NETO;2609.775;7459;2.86;85.7;0.589;5.88;43706532.59;39082189.41;24892.41
Tocantinópolis;1721208;tocantinopolino;PAULO GOMES DE SOUZA;1083.6;22615;20.87;98.8;0.681;15.11;107109650.19;97636499.01;16329.62
Tupirama;1721257;tupiramense;ORMANDO BRITO ALVES;706.883;1909;2.7;98.9;0.67;;20240678.06;20189541.96;60880.42
Tupiratins;1721307;tupiratinense;JANILSON VERAS BARBOSA;889.126;1874;2.11;96.4;0.587;;25603389.6;22298817.73;13866.63
Wanderlândia;1722081;wanderlandiense;DJALMA ARAUJO FERREIRA JUNIOR;1365.431;10522;7.71;96;0.638;16.67;42914814.35;40032608.19;15566.87
Xambioá;1722107;xambioaense;SHERLEY PATRICIA MATOS DE ALENCAR DIAS;1190.489;10517;8.83;95.9;0.671;6.41;60646308.01;51995198.82;40958.25
