Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2022;Totaldespesasbrutasempenhadasreais2022;PIBpercapitareais2021
São Francisco do Pará;1507409;franciscano;MARCOS CESAR BARBOSA E SILVA;479.441;14894;31.07;97.7;0.608;15.15;65786975.6;63312775.66;16546.12
São Geraldo do Araguaia;1507458;sãogeraldense;JEFFERSON DOUGLAS JESUS OLIVEIRA;3168.384;24255;7.66;96.1;0.595;14.96;123143138.27;119381835.3;28929.59
São João da Ponta;1507466;são joão pontense;FLORIANO DE JESUS COELHO;195.918;4430;22.61;99.1;0.583;;34419046.39;33606835.42;9120.92
São João de Pirabas;1507474;pirabense;KAMILY MARIA FERREIRA ARAUJO;668.434;20689;30.95;96.3;0.539;19.84;96182437.54;99144609.68;7771.66
São João do Araguaia;1507508;sãojoanense;MARCELLANNE CRISTINA SOBRAL MARTINS;1279.889;13664;10.68;91.6;0.55;17.05;70088990.87;70054198.18;13249.93
São Miguel do Guamá;1507607;guamaense;EDUARDO SAMPAIO GOMES LEITE;1094.564;52894;48.32;96.9;0.591;10.06;246382758.02;252015154.7;13160.19
São Sebastião da Boa Vista;1507706;boavistense;GETÚLIO BRABO DE SOUZA;1632.251;25643;15.71;93.7;0.558;13.62;127995980.87;127550011.6;8974.71
Sapucaia;1507755;sapucaiense;WILTON MIRANDA DE LIMA;1298.19;5847;4.5;94.8;0.59;24.1;54293123.48;50484386.07;23189.27
Senador José Porfírio;1507805;porfiriense;DIRCEU BIANCARDI;14419.916;22576;1.57;92.4;0.514;42.9;111449232.27;95411142.61;21785.17
Soure;1507904;sourense;CARLOS AUGUSTO DE LIMA GOUVEA;2857.349;24204;8.47;97.6;0.615;12.79;100564707.04;99151250.71;9389.68
Tailândia;1507953;tailandense;PAULO LIBERTE JASPER;4430.477;72493;16.36;89.7;0.588;17.57;287712271.66;298942548.6;11579.35
Terra Alta;1507961;terraltense;ELINALDO MATOS DA SILVA;204.97;10400;50.74;97.4;0.605;14.08;46562805.81;43673292.71;6937.27
Terra Santa;1507979;terrasantense;ODAIR JOSÉ FARIAS ALBUQUERQUE;1895.883;18782;9.91;97;0.635;29.85;114685266.59;109812297.1;27253.9
ToméAçu;1508001;toméaçuense;CARLOS ANTONIO VIEIRA;5145.361;67585;13.14;95.6;0.586;9.38;376997380.46;361893365.9;16107.91
Tracuateua;1508035;tracuateuense;JOSÉ BRAULIO DA COSTA;868.025;28595;32.94;95.6;0.531;17.03;115208681.26;114697573.9;9044.03
Trairão;1508050;trairense;VALDINEI JOSE FERREIRA;11991.085;15242;1.27;94.3;0.562;20.62;89436087.43;73849697.33;16931.49
Tucumã;1508084;tucumaense;CELSO LOPES CARDOSO;2512.594;39550;15.74;96.5;0.659;19.83;214386556.57;195283757.6;24210.5
Tucuruí;1508100;tucuruiense;ALEXANDRE FRANCA SIQUEIRA;2084.289;91306;43.81;94.9;0.666;12.37;534434100.1;491523004.3;48149.75
Ulianópolis;1508126;ulianopolense;KELLY CRISTINA DESTRO;5088.468;37972;7.46;82.7;0.604;4.95;175319334.87;180579833.3;32043.86
Uruará;1508159;uruaraense;GILSON DE OLIVEIRA BRANDÃO;10791.406;43558;4.04;92.1;0.589;21.63;227421971.72;223018891.4;17062.01
Vigia;1508209;vigiense;JOB XAVIER PALHETA JUNIOR;401.589;50832;126.58;97.3;0.617;19.29;97996813.43;84904485.72;8724.37
Viseu;1508308;viseuense;CRISTIANO DUTRA VALE;4972.897;58692;11.8;94.9;0.515;14.53;274328263.51;259709231.3;9961.97
Vitória do Xingu;1508357;vitoriense;MARCIO VIANA ROCHA;3089.537;15607;5.05;94.2;0.596;9.68;299517573.61;287506325.2;274351.7
Xinguara;1508407;xinguarense;MOACIR PIRES DE FARIA;3779.348;52893;14;96.6;0.646;10.75;256774503.21;233549834.7;35340.41
