Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2021;Totaldespesasbrutasempenhadasreais2021;PIBpercapitareais2021
São Vicente;2413003;sãovicentense;JANE MARIA SOARES DE MEDEIROS;197.817;6310;31.9;92.5;0.642;17.24;40715575.64;37065691.57;11877.99
Senador Elói de Souza;2413102;elóidesouzense;MACIEL GOMES DA SILVA;152.376;5965;39.15;97.7;0.583;15.87;31168273.31;30562002.49;9806.43
Senador Georgino Avelino;2413201;georginense;ANTONIO MARCOS FREIRE;26.1;4065;155.75;97.1;0.57;15.87;32362202.04;30714525.63;25731.61
Serra de São Bento;2413300;serrabentense;WANESSA GOMES DE MORAIS;96.628;5703;59.02;97.5;0.582;12.82;28987780.38;25158393.83;10003.6
Serra do Mel;2413359;serrano;JOSIVAN BIBIANO DE AZEVEDO;620.241;13091;21.11;97.8;0.614;30.77;120765612.67;112120128.3;70243.25
Serra Negra do Norte;2413409;serranegrensedonorte;SÉRGIO FERNANDES DE MEDEIROS;562.396;7597;13.51;95.5;0.597;;47983649.59;42416513.67;14666.95
Serrinha;2413508;serrinhense;JOSE ANTONIO DE MEDEIROS CLEMENTE;193.351;6436;33.29;99;0.592;;36975262.74;32529548.14;11732.81
Serrinha dos Pintos;2413557;serriense dos pintos;BARBARA TEIXEIRA QUEIROZ;122.375;4659;38.07;96.1;0.598;;31329088.16;28067059.97;10303.67
Severiano Melo;2413607;severianense;JACINTO LOPES DE CARVALHO;157.85;5487;34.76;97.1;0.604;33.33;33960305.74;31953078.58;36201.68
Sítio Novo;2413706;sítionovense;ANDREZZA BRASIL SOUTO;213.456;4654;21.8;99.4;0.572;22.73;34474182.51;31859685.68;9604.36
Taboleiro Grande;2413805;taboleirense;MARIA TARCIA RIBEIRO DA SILVA;124.093;2338;18.84;95.8;0.612;;26360220.04;24145376.67;12460.84
Taipu;2413904;taipuense;ARIOSVALDO BANDEIRA JUNIOR;352.818;11422;32.37;95.5;0.569;7.58;49164726.19;43202988.53;12603.48
Tangará;2414001;tangarense;JOSE AIRTON BEZERRA;339.484;13281;39.12;98.1;0.608;17.75;64017948.46;59478344.02;12605.26
Tenente Ananias;2414100;tenenteananiense;LARISSA LISIANE DA CUNHA ROCHA JACOME;223.671;10262;45.88;95.1;0.592;9.62;57244519.99;56963770.36;10398.97
Tenente Laurentino Cruz;2414159;tenentelaurentinense;FRANCISCO MACEDO DA SILVA;68.556;5891;85.93;98.1;0.623;12.82;38192390.68;34744950.9;17631.19
Tibau do Sul;2414209;tibauense;VALDENICIO JOSE DA COSTA;102.68;16929;164.87;95.7;0.645;15.15;95771862.1;87092180.61;28299.48
Timbaúba dos Batistas;2414308;timbaubense;IVANILDO ARAUJO DE ALBUQUERQUE FILHO;135.456;2348;17.33;99.3;0.64;;28446912.15;23506852.45;17972.11
Touros;2414407;tourense;PEDRO FERREIRA DE FARIAS FILHO;753.961;33035;43.82;99.2;0.572;13.25;153918166.58;134039937.6;24167.89
Triunfo Potiguar;2414456;triunfense potiguar;JOANA DARC ESTEVAM DA FONSECA SILVA;268.725;3376;12.56;97.8;0.602;;28493640.34;27266505.6;14344.56
Umarizal;2414506;umarizalense;RAIMUNDO NONATO DIAS PINHEIRO;213.584;10078;47.19;97.3;0.618;23.26;42726527.06;39303094.66;14421.3
Upanema;2414605;upanemense;RENAN MENDONÇA FERNANDES;873.14;13577;15.55;98;0.596;;79464464.91;71059815.04;14337.24
Várzea;2414704;varzeano;PEDRO SALES BELO DA SILVA;72.684;5233;72;97.8;0.626;14.08;29513232.93;25239968.45;10229.06
VenhaVer;2414753;venhaverense;CLEITOM JACOME DA COSTA;71.621;3014;42.08;98.8;0.555;;31752580.76;25987792.76;10208.67
Vera Cruz;2414803;veracruzense;MARCOS ANTONIO CABRAL;84.127;10735;127.6;97.8;0.587;;65611931.24;64288808.87;10436.42
Viçosa;2414902;viçosense;VICTOR RAMON ALVES;37.905;1822;48.07;99.2;0.592;;25425302.99;22682926.02;13425.15
Vila Flor;2415008;vilaflorense;THUANNE KARLA CARVALHO DE SOUZA;47.656;3174;66.6;99;0.576;;28522113.66;24331037.09;13802.94
