Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Francinópolis;2204006;francinopolitano;PAULO CÉSAR RODRIGUES DE MORAIS;268.704;4505;16.77;97.5;0.564;;33442505.03;29215570.88;8381.02
Francisco Ayres;2204105;airense;EUGÊNIA DE SOUSA NUNES;656.475;4412;6.72;98.1;0.577;;31955708.3;27613061.77;10875.11
Francisco Macedo;2204154;francisco macedense;ADEILSON ANTÃO DE CARVALHO;179.245;2929;16.34;97.8;0.553;;27956597.3;24401957.25;10211.77
Francisco Santos;2204204;franciscosantense;LUIS JOSÉ DE BARROS;492.191;8237;16.74;97.4;0.608;19.8;35827511.06;36477419.11;8811.07
Fronteiras;2204303;fronteirense;EUDES AGRIPINO RIBEIRO;777.179;10259;13.2;97.5;0.619;9.43;57162555.65;50002103.42;9619.68
Geminiano;2204352;geminianense;ERCULANO EDIMILSON DE CARVALHO;440.606;5445;12.36;97;0.561;27.4;29087362.14;25660961.88;10818.51
Gilbués;2204402;gilbuense;AMILTON LUSTOSA FIGUEREDO FILHO;3495.692;10892;3.12;93.7;0.548;11.98;73100179.93;65356494.18;38969.38
Guadalupe;2204501;guadalupense;MARIA JOZENEIDE FERNANDES LIMA;1026.538;10270;10;98.8;0.65;21.74;69853438.74;68185504.01;60708.08
Guaribas;2204550;guaribano;JOERCIO MATIAS DE ANDRADE;3118.231;4276;1.37;98.2;0.508;14.08;33090574.9;30968798.14;9861.95
Hugo Napoleão;2204600;hugonapoleonense;LUCIANO BARRETO DE CARVALHO FILHO;224.573;3518;15.67;96.8;0.599;25;27336702.89;25155513.38;8779.97
Ilha Grande;2204659;ilhagrandense;MARINA DE OLIVEIRA BRITO;129.696;9274;71.51;98.1;0.563;22.56;44084398.53;40729136.47;12619.94
Inhuma;2204709;inhumense;ELBERT HOLANDA MOURA;978.222;14958;15.29;98.8;0.624;36.76;59123091.73;53842638.73;10673.42
Ipiranga do Piauí;2204808;ipiranguense;FRANCISCO ELVIS RAMOS VIEIRA;529.417;9420;17.79;94.9;0.63;19.61;38466424.81;35352480.19;8356.14
Isaías Coelho;2204907;isaiense;FRANCISCO EUDES CASTELO BRANCO NUNES;800.688;7774;9.71;95;0.582;18.35;34007103.16;32871797.75;9414.86
Itainópolis;2205003;itainopolense;MIGUEL RODRIGUES DE MOURA;827.62;10790;13.04;97.1;0.541;;53997215.96;48835710.84;9350.28
Itaueira;2205102;itaueirense;OSMUNDO DE MORAES ANDRADE;2554.179;10323;4.04;98.7;0.583;36.7;49043707.69;47052461.29;11946.42
Jacobina do Piauí;2205151;jacobinense;GEDERLANIO RODRIGUES DE OLIVEIRA;1333.796;5613;4.21;97.7;0.535;;52984954.46;44035718.97;12078.34
Jaicós;2205201;jaicoense;OGILVAN DA SILVA OLIVEIRA;866.788;17527;20.22;95.1;0.524;25.21;79671503.43;73767535.86;9970.93
Jardim do Mulato;2205250;jardimulatense;DEJAIR LIMA DE SOUSA;510.226;4180;8.19;98.9;0.593;;29743343.68;26876199.65;8764.19
Jatobá do Piauí;2205276;jatobaense;RAIMUNDO NONATO GOMES DE OLIVEIRA;650.393;4494;6.91;98.9;0.566;22.73;29818121.88;27820750.01;12026.02
Jerumenha;2205300;jerumenhense;JOSÉ INACIO PEREIRA DA SILVA JUNIOR;1865.94;4497;2.41;97.4;0.591;16.95;24637005.3;22038324.28;14298.42
João Costa;2205359;joão costense;JOSÉ NETO DE OLIVEIRA;1800.23;2970;1.65;96.9;0.561;;29490286.23;29085335.63;23073.1
Joaquim Pires;2205409;joaquimpirense;GENIVAL BEZERRA DA SILVA;740.561;13886;18.75;96.2;0.522;9.57;70285959.62;61761393.22;8258.82
Joca Marques;2205458;jocamarquense;FABIANNA SPINDOLA MARQUES;169.005;5394;31.92;97.2;0.504;12.99;30809377.02;28264938.35;8423.08
José de Freitas;2205508;freitense;ROGER COQUEIRO LINHARES;1538.172;42559;27.67;98.7;0.618;28.88;164488734.5;158490356.6;9902.38
Juazeiro do Piauí;2205516;juazeirense;JOSÉ WILSON PEREIRA GOMES;935.404;5214;5.57;99.1;0.57;21.28;36190946.9;31996461.94;10209.14
Júlio Borges;2205524;julio borgense;EDUARDO HENRIQUE DE CASTRO ROCHA;1283.916;5388;4.2;98.6;0.582;34.48;44426519.82;39640337.66;14292.17
Jurema;2205532;juremense;KAYLANNE DA SILVA OLIVEIRA;1271.881;4425;3.48;99.2;0.555;35.09;35786398.54;35335501.87;9095.2
Lagoinha do Piauí;2205540;lagoinense;KELLY ALVES ALENCAR;67.649;2939;43.44;96.9;0.597;;20311885.01;19488413.9;14117.98
Lagoa Alegre;2205557;lagoalegrense;CARLOS MAGNO FORTES MACHADO;394.205;8256;20.94;97.8;0.55;9.71;51193920.62;48676609.08;8979.51
Lagoa do Barro do Piauí;2205565;lagoa do barrense;GILSON NUNES DE SOUSA;1331.025;4995;3.75;94.7;0.502;;71915173.67;58108254.49;114788.12
Lagoa de São Francisco;2205573;lagoense;JOÃO ARILSON DE MESQUITA BEZERRA;155.86;6331;40.62;98.3;0.529;;51471443.5;35954185.09;8091.31
Lagoa do Piauí;2205581;lagoense;MAURO CÉSAR SOARES DE OLIVEIRA JÚNNIOR;427.841;4810;11.24;98.9;0.583;;30190187.26;26271721.45;18505.9
Lagoa do Sítio;2205599;sitiolagoense;JOSÉ SÁVIO DE MOURA E SILVA;805.018;4520;5.61;96.6;0.541;42.55;33035801.72;29629875.98;9311.16
Landri Sales;2205607;landrisalesiano;DELISMON SOARES PEREIRA;1088.583;5213;4.79;98.7;0.584;15.38;44448044.76;39509171.43;20826.76
Luís Correia;2205706;luíscorreiense;MARIA DAS DORES FONTENELE BRITO;1074.132;30641;28.53;95.4;0.541;14.35;126716755.86;133474298.5;12392.72
Luzilândia;2205805;luzilandense;FERNANDA PINTO MARQUES;705.599;25375;35.96;96.1;0.545;9.09;118759882.38;114743840.3;9451.85
Madeiro;2205854;madeirense;PEDRO TEIXEIRA JUNIOR;178.842;8032;44.91;97.8;0.563;;43968196.79;43986546.86;8975.26
Manoel Emídio;2205904;manoelemidense;CLAUDIA MARIA DE JESUS PIRES MEDEIROS;1620.413;5209;3.21;99;0.573;;28836905.44;28612599.13;10240.38
Marcolândia;2205953;marcolandense;CORINTO MACHADO DE MATOS NETO;136.785;8533;62.38;94.5;0.562;35.09;58448477.42;50462491.14;23091.01
Marcos Parente;2206001;marcoense;GEDISON ALVES RODRIGUES;677.416;4724;6.97;97.3;0.59;;28272481.67;25033104.81;12072.99
Massapê do Piauí;2206050;massapêense;RIVALDO DE CARVALHO COSTA;530.169;5218;9.84;98.6;0.525;;34328776.04;31419732.36;8074.67
Matias Olímpio;2206100;matiense;GENIVALDO NASCIMENTO ALMEIDA;226.785;10641;46.92;98.5;0.562;21.58;52709392.61;49802857.45;8703.44
Miguel Alves;2206209;miguelalvense;FRANCISCO ANTONIO REBELO PAIVA;1392.123;32150;23.09;96.6;0.539;17.17;156477214.74;149599592;9227.43
Miguel Leão;2206308;leonino;ROBERTO CESAR DE ARÉA LEÃO NASCIMENTO;93.412;1318;14.11;99.6;0.623;;21047808.1;18147588.03;19050.85
Milton Brandão;2206357;milton brandãoense;FRANCISCO EVANGELISTA RESENDE;1309.128;6542;5;98.9;0.508;30.77;31902827.1;27827962.87;8111.92
Monsenhor Gil;2206407;monsenhorgilense;JOÃO LUIZ CARVALHO DA SILVA;567.86;10255;18.06;98.8;0.615;9.09;48135612.71;43343146.96;12067.47
Monsenhor Hipólito;2206506;hipolitano;ANTONIO DJALMA BEZERRA POLICARPO;401.568;7577;18.87;96.7;0.561;12.2;41048584.24;36339336.63;9361.82
Monte Alegre do Piauí;2206605;montealegrense;DIJALMA GOMES MASCARENHAS;2417.382;10660;4.41;98.3;0.578;5.75;68064723.22;61100096.53;28073.98
Morro Cabeça no Tempo;2206654;morrense;JOSUÉ ALVES DA SILVA;2207.658;4377;1.98;97.7;0.542;15.15;42484826.75;35415876.44;8648.56
