Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Rio das Flores;3304508;rioflorense;VICENTE DE PAULA DE SOUZA GUEDES;478.783;8954;18.7;98.5;0.68;12.99;105582372.35;107120692.9;31314.82
Rio das Ostras;3304524;riostrense;MARCELINO CARLOS DIAS BORBA;228.044;156491;686.23;98.2;0.773;9.77;1114526723.48;1182932737;56096.82
Rio de Janeiro;3304557;carioca;EDUARDO DA COSTA PAES;1200.329;6211223;5174.6;96.9;0.799;11.8;37784146486.58;43242247098;53078.23
Santa Maria Madalena;3304607;madalenense;NILSON JOSÉ PERDOMO COSTA;810.963;10232;12.62;98.3;0.668;;110222049.8;123408524;22599.44
Santo Antônio de Pádua;3304706;paduano _ paduense;PAULO ROBERTO PINHEIRO PINTO;603.633;41325;68.46;98.1;0.718;11.09;248618422.02;238889473.3;30081.81
São Francisco de Itabapoana;3304755;sãofranciscano;FRANCIMARA AZERÊDO DA SILVA BARBOSA LEMOS;1118.037;45059;40.3;98;0.639;18.76;299114324.06;276597935.8;28060.15
São Fidélis;3304805;fidelense;AMARILDO HENRIQUE ALCÂNTARA;1034.833;38961;37.65;97.1;0.691;18.18;217898052.7;235386457.4;21811.97
São Gonçalo;3304904;gonçalense;NELSON RUAS DOS SANTOS;248.16;896744;3613.57;96.7;0.739;12.56;2074975505.23;2898447674;18504.81
São João da Barra;3305000;sanjoanense;CARLA MARIA MACHADO DOS SANTOS;452.396;36573;80.84;97.5;0.671;10.16;865275576.14;808722137.3;269169.78
São João de Meriti;3305109;meritiense;JOAO FERREIRA NETO;35.216;440962;12521.64;96.6;0.719;17.28;986963158.89;1081453935;18935.5
São José de Ubá;3305133;ubaense;GEAN MARCOS PEREIRA DA SILVA;249.688;7070;28.32;99.2;0.652;18.18;85796173.9;73863986.9;27190.85
São José do Vale do Rio Preto;3305158;riopretano;GILBERTO MARTINS ESTEVES;220.178;22080;100.28;98.4;0.66;13.61;119476728.86;104299168.4;33522.52
São Pedro da Aldeia;3305208;aldeense;CARLOS FABIO DA SILVA;332.488;104029;312.88;97.9;0.712;10.73;492596849.86;558131182.7;25509.14
São Sebastião do Alto;3305307;altense;ALIF RODRIGUES DA SILVA;397.214;7750;19.51;94.6;0.646;14.71;93621217.67;99885407.65;25625.42
Sapucaia;3305406;sapucaiense;BRENO JOSÉ DE SOUZA JUNQUEIRA;540.673;17729;32.79;97.3;0.675;5.99;180998065.93;185302101.9;54765.99
Saquarema;3305505;saquaremense;MANOELA RAMOS DE SOUZA GOMES ALVES;352.13;89559;254.34;96.3;0.709;8.81;2763662267.45;2359928431;458767.96
Seropédica;3305554;seropedicense;LUCAS DUTRA DOS SANTOS;265.189;80596;303.92;97.5;0.713;24.27;452825681.13;460571440.2;56977.34
Silva Jardim;3305604;silvajardinense;MAIRA BRANCO MONTEIRO;937.755;21352;22.77;98.8;0.654;30.43;340554452.92;307795254.7;27675.96
Sumidouro;3305703;sumidourense;ELIESIO PERES DA SILVA;413.407;15206;36.78;93.5;0.611;24.04;84651509.82;73856701.59;38202.73
Tanguá;3305752;tanguaense;RODRIGO DA COSTA MEDEIROS;143.007;31086;217.37;98.1;0.654;7.89;189343793.73;192949911.2;19902.27
Teresópolis;3305802;teresopolitano;VINICIUS CARDOSO CLAUSSEN DA SILVA;773.338;165123;213.52;96.2;0.73;11.25;931293167.51;930429979.6;31880.03
Trajano de Moraes;3305901;trajanense;RODRIGO FREIRE VIANA;591.151;10302;17.43;98.4;0.667;;107166200.93;110795345.2;22718.51
Três Rios;3306008;trirriense;JOACIR BARBAGLIO PEREIRA;322.843;78346;242.68;97.9;0.725;15.58;532820730.98;509644120.4;76977.41
Valença;3306107;valenciano;LUIZ FERNANDO FURTADO DA GRAÇA;1300.767;68088;52.34;97.7;0.738;9.93;30496067.61;23646387.53;40447.29
VarreSai;3306156;varresaiense;SILVESTRE JOSE GORINI;201.938;10207;50.55;96.8;0.659;16.76;108727341.41;99106996.13;23568.37
Vassouras;3306206;vassourense;SEVERINO ANANIAS DIAS FILHO;536.073;33976;63.38;98.8;0.714;20;302335868.24;279934505.7;35458.96
Volta Redonda;3306305;voltaredondense;ANTONIO FRANCISCO NETO;182.105;261563;1436.33;98.5;0.771;12.88;870236155.98;1604047337;71551.44
